HOG	OG	Gene Tree Parent Clade	MFC_ATCC27716_protein	MFC_MF11_protein	MFC_MF18_protein	MFC_MF22_protein	MFC_MF29_protein	MFC_MF30_protein	MFC_MF33_protein	MFC_MS42_protein	MHP_11_protein	MHP_168L_protein	MHP_168_protein	MHP_232_protein	MHP_7422_protein	MHP_7448_protein	MHP_98_protein	MHP_ES2L_protein	MHP_ES2_protein	MHP_F72C_protein	MHP_J_protein	MHP_LH_protein	MHP_MHP650_protein	MHP_MHP653_protein	MHP_MHP679_protein	MHP_MHP682_protein	MHP_MHP691_protein	MHP_MHP694_protein	MHP_MHP696_protein	MHP_MHP699_protein	MHP_MHP709_protein	MHP_NCTC10127_protein	MHP_REF_protein	MHP_TB1_protein	MHP_UFV01_protein	MHP_UFV02_protein
N3.HOG0000090	OG0000029	n0									WP_241499465.1	WP_187286318.1	WP_187286318.1	WP_232039515.1	WP_041361612.1	WP_011290139.1	WP_011290139.1	WP_179221095.1	WP_135618739.1	WP_146379572.1	WP_011284065.1	WP_011290139.1	WP_160601259.1	WP_160615671.1	WP_160590481.1	WP_258555867.1	WP_160608064.1	WP_160606617.1	WP_160588346.1	WP_258555867.1	WP_160588346.1	WP_232039515.1		WP_187286318.1	WP_179221095.1	WP_179221095.1
N3.HOG0000091	OG0000030	n0									WP_011206324.1	WP_044278027.1, WP_014579910.1	WP_044278027.1, WP_014579910.1	WP_011206324.1	WP_020835809.1	WP_011290299.1	WP_179695991.1	WP_179221174.1	WP_135618969.1	WP_146379673.1	WP_011284239.1	WP_233688485.1	WP_160601045.1	WP_308507043.1	WP_160590119.1	WP_160585663.1	WP_160607824.1	WP_160606423.1	WP_160587825.1	WP_160584994.1	WP_160587825.1	WP_011206324.1		WP_044278027.1, WP_014579910.1	WP_243216261.1	WP_243216261.1
N3.HOG0000092	OG0000031	n0									WP_011205867.1	WP_014579531.1	WP_014579531.1	WP_011205867.1	WP_011205867.1	WP_011205867.1	WP_160607724.1	WP_135618462.1	WP_135618462.1	WP_146379455.1	WP_014579531.1	WP_135618462.1	WP_014579531.1	WP_160584826.1	WP_014579531.1	WP_160584826.1	WP_160607724.1	WP_160606887.1	WP_146379455.1	WP_160584826.1	WP_146379455.1	WP_011205867.1		WP_014579531.1	WP_011205867.1	WP_011205867.1
N3.HOG0000093	OG0000032	n1									WP_088172556.1	WP_014579779.1, WP_016340186.1	WP_014579779.1	WP_011206171.1		WP_044272304.1	WP_179695955.1, WP_179696124.1	WP_179221008.1	WP_135618793.1	WP_146379481.1	WP_044284633.1, WP_044284582.1	WP_233688627.1, WP_233688741.1		WP_160615508.1				WP_160606943.1	WP_160617486.1	WP_160585280.1	WP_160588009.1	WP_011206171.1			WP_243215967.1, WP_243216117.1	WP_243215967.1, WP_243234966.1
N3.HOG0000094	OG0000032	n25									WP_011206130.1			WP_011206130.1	WP_041361636.1	WP_044272443.1	WP_179696113.1	WP_179221109.1	WP_135618806.1, WP_135618538.1	WP_146379621.1, WP_146379625.1												WP_011206130.1				
N3.HOG0000095	OG0000033	n0									WP_088172558.1, WP_011206179.1	WP_225973034.1, WP_044277998.1	WP_225973034.1, WP_044277998.1	WP_011206179.1	WP_225973034.1	WP_225973034.1	WP_225973034.1	WP_225973034.1, WP_011206179.1	WP_081430780.1	WP_225973034.1	WP_225973034.1, WP_011206179.1	WP_011206179.1	WP_225973034.1, WP_011206179.1	WP_225973034.1	WP_225973034.1	WP_225973034.1	WP_220200639.1	WP_225973034.1	WP_225973034.1, WP_011206179.1	WP_225973034.1	WP_225973034.1, WP_011206179.1	WP_081430780.1, WP_011206179.1		WP_044277998.1	WP_081430780.1, WP_011206179.1	WP_081430780.1, WP_011206179.1
N3.HOG0000096	OG0000034	n0									WP_011206291.1	WP_014579883.1	WP_014579883.1	WP_011206291.1	WP_020835786.1	WP_044272538.1	WP_179695975.1	WP_011206291.1	WP_135618940.1	WP_146379656.1	WP_044284674.1	WP_044272538.1	WP_160600727.1	WP_011206291.1	WP_011206291.1	WP_160585698.1	WP_160608001.1	WP_044284674.1	WP_160588303.1	WP_011206291.1	WP_160588303.1	WP_276315192.1, WP_011206291.1, WP_276315191.1		WP_014579883.1	WP_243216226.1	WP_243216226.1
N3.HOG0000097	OG0000035	n0									WP_088172554.1	WP_014579762.1	WP_014579762.1	WP_011206157.1	WP_020835673.1	WP_044272427.1	WP_179696073.1	WP_179221103.1	WP_135618771.1	WP_146379578.1	WP_044284629.1	WP_233688734.1	WP_160601010.1	WP_258555938.1	WP_160590237.1	WP_160585694.1	WP_160607947.1	WP_160606781.1	WP_160588203.1	WP_160585058.1	WP_160588203.1	WP_011206157.1		WP_014579762.1	WP_243216087.1	WP_243216087.1
N3.HOG0000098	OG0000036	n0									WP_011206290.1	WP_014579882.1	WP_014579882.1	WP_011206290.1	WP_041361671.1	WP_041361671.1	WP_011206290.1	WP_179221159.1	WP_014579882.1	WP_041361671.1	WP_044284673.1	WP_233688467.1	WP_160600725.1	WP_160585159.1	WP_160590316.1	WP_160585159.1	WP_160585159.1	WP_041361671.1	WP_041361671.1	WP_160585159.1	WP_041361671.1	WP_232039622.1, WP_232039621.1		WP_014579882.1	WP_041361671.1	WP_041361671.1
N3.HOG0000099	OG0000037	n0									WP_241499458.1, WP_011206364.1	WP_014579688.1, WP_011206365.1, WP_052293599.1	WP_014579688.1, WP_011206365.1, WP_052293599.1	WP_011206365.1, WP_011206364.1	WP_041361561.1	WP_044272499.1	WP_179695831.1	WP_179221210.1	WP_135618751.1			WP_179695831.1	WP_160601158.1		WP_160581239.1	WP_160585710.1	WP_160585710.1			WP_135618751.1		WP_232039573.1, WP_129640637.1, WP_129640557.1, WP_232039604.1, WP_232039575.1, WP_232039601.1		WP_014579688.1, WP_011206365.1, WP_052293599.1	WP_243216105.1, WP_243216103.1	WP_243216105.1, WP_243216103.1
N3.HOG0000100	OG0000038	n1										WP_014579652.1	WP_014579652.1	WP_011206099.1	WP_011290019.1	WP_011290019.1	WP_232039589.1		WP_135618565.1		WP_011206099.1		WP_232039589.1	WP_011290019.1	WP_011290019.1	WP_160585834.1	WP_011290019.1					WP_232039589.1		WP_014579652.1	WP_243215987.1	WP_243234958.1
N3.HOG0000101	OG0000038	n17										WP_228365413.1	WP_228365413.1		WP_020835620.1	WP_228366127.1	WP_258556571.1	WP_228366127.1	WP_240536366.1		WP_237697231.1		WP_220200864.1	WP_258555945.1	WP_220200784.1	WP_258555805.1		WP_228366127.1	WP_258555272.1	WP_280996373.1	WP_258555272.1			WP_228365413.1		
N3.HOG0000102	OG0000039	n0									WP_011206214.1	WP_014579821.1	WP_014579821.1	WP_011206214.1	WP_020835724.1	WP_011290200.1	WP_011206214.1	WP_179221126.1	WP_240536308.1	WP_146379601.1	WP_011284135.1	WP_011206214.1	WP_160587914.1	WP_011206214.1	WP_011206214.1	WP_160585595.1	WP_160607660.1	WP_011206214.1	WP_160587914.1	WP_011206214.1	WP_160587914.1	WP_011206214.1		WP_014579821.1	WP_011206214.1	WP_011206214.1
N3.HOG0000103	OG0000040	n0									WP_011206223.1	WP_014579844.1	WP_014579844.1	WP_011206223.1	WP_020835729.1	WP_011206223.1	WP_179696013.1	WP_179221131.1	WP_011206223.1	WP_146379595.1	WP_011284143.1	WP_233688415.1	WP_160601152.1	WP_011206223.1	WP_160590049.1	WP_011206223.1	WP_160590049.1	WP_160606605.1	WP_011206223.1	WP_011206223.1	WP_011206223.1	WP_011206223.1		WP_014579844.1	WP_243216165.1	WP_243216165.1
N3.HOG0000104	OG0000041	n0									WP_011206517.1	WP_187286313.1	WP_187286313.1	WP_011206517.1	WP_020835928.1	WP_011290438.1	WP_258556513.1, WP_258556514.1	WP_179221274.1		WP_192894283.1	WP_269076327.1	WP_233688578.1	WP_308704755.1	WP_220191323.1	WP_258555701.1	WP_308507016.1	WP_308704678.1	WP_258555494.1, WP_258555399.1	WP_220191087.1	WP_220190650.1	WP_220191087.1	WP_011206517.1		WP_187286313.1	WP_279288053.1	WP_279288053.1
N3.HOG0000105	OG0000042	n0									WP_011206514.1	WP_016340255.1	WP_014580030.1	WP_011206514.1	WP_020835924.1	WP_044272675.1	WP_179695864.1	WP_179221273.1	WP_135619164.1	WP_146379765.1	WP_044284734.1	WP_233688575.1	WP_160600812.1	WP_160615967.1	WP_160590366.1	WP_308507019.1, WP_160585573.1	WP_160607759.1	WP_160606925.1	WP_160588163.1	WP_160585306.1	WP_160588163.1	WP_011206514.1		WP_014580030.1	WP_243215895.1	WP_243215895.1
N3.HOG0000106	OG0000043	n0									WP_011206511.1	WP_014580027.1	WP_014580027.1	WP_011206511.1	WP_020835921.1	WP_011290432.1	WP_160584888.1	WP_179221270.1	WP_135619158.1	WP_146379762.1	WP_011284380.1	WP_233688571.1	WP_160600806.1	WP_011290432.1	WP_011290432.1	WP_160585575.1	WP_011290432.1	WP_160606905.1	WP_160585575.1	WP_160584888.1	WP_160585575.1	WP_011206511.1		WP_014580027.1	WP_243215892.1	WP_243215892.1
N3.HOG0000107	OG0000044	n0									WP_011206167.1	WP_014579753.1	WP_014579753.1, WP_014579748.1	WP_011206167.1	WP_020835682.1	WP_020835682.1	WP_179696125.1	WP_179221108.1	WP_135618787.1	WP_146379583.1	WP_011284083.1	WP_233688740.1	WP_160601022.1	WP_160615941.1	WP_160585690.1	WP_160585690.1	WP_160608118.1	WP_160606941.1	WP_160588193.1	WP_160585042.1	WP_160588193.1	WP_011206167.1		WP_014579753.1	WP_243216098.1	WP_243216098.1
N3.HOG0000108	OG0000045	n0									WP_011206245.1	WP_233417347.1, WP_016340219.1	WP_228365381.1	WP_011206245.1	WP_020835752.1	WP_011290219.1	WP_011290219.1	WP_179221139.1	WP_011290219.1	WP_011290219.1	WP_011284168.1	WP_011290219.1	WP_160601112.1	WP_011290219.1	WP_011290219.1	WP_011290219.1	WP_011290219.1	WP_160606850.1	WP_011290219.1	WP_011290219.1	WP_011290219.1	WP_232039533.1		WP_252862189.1	WP_160601112.1	WP_160601112.1
N3.HOG0000109	OG0000046	n0									WP_011206103.1	WP_011206103.1	WP_011206103.1	WP_011206103.1	WP_011206103.1	WP_011206103.1	WP_011206103.1	WP_011206103.1	WP_011206103.1	WP_011206103.1	WP_011206103.1	WP_011206103.1	WP_011206103.1	WP_011206103.1	WP_258555735.1, WP_160587949.1	WP_011206103.1	WP_011206103.1	WP_011206103.1	WP_160587949.1	WP_011206103.1	WP_160587949.1	WP_011206103.1		WP_011206103.1	WP_011206103.1	WP_011206103.1
N3.HOG0000110	OG0000047	n0									WP_173670097.1	WP_228365394.1	WP_228365394.1	WP_173670097.1	WP_225972996.1	WP_225972996.1	WP_225972996.1	WP_228365394.1	WP_225972996.1	WP_225972996.1	WP_228365394.1	WP_228365394.1	WP_228365394.1	WP_228365394.1	WP_258555674.1	WP_225972996.1	WP_225972996.1	WP_258555421.1	WP_225972996.1	WP_225972996.1	WP_225972996.1	WP_173670097.1		WP_044278029.1	WP_225972996.1	WP_225972996.1
N3.HOG0000111	OG0000048	n0									WP_011206374.1	WP_014579936.1	WP_014579936.1	WP_011206374.1	WP_011206374.1	WP_044272567.1	WP_179695927.1	WP_160587850.1	WP_135619004.1	WP_146379688.1	WP_011206374.1	WP_044272567.1	WP_011206374.1	WP_160615657.1	WP_160585682.1	WP_160585682.1	WP_160607842.1	WP_160606579.1	WP_160587850.1	WP_011206374.1	WP_160587850.1	WP_011206374.1		WP_252862148.1	WP_014579936.1	WP_014579936.1
N3.HOG0000112	OG0000049	n0									WP_011206373.1	WP_011284269.1	WP_011284269.1	WP_011206373.1	WP_011206373.1	WP_011206373.1	WP_179695928.1, WP_179696086.1	WP_011284269.1	WP_135619002.1	WP_011206373.1	WP_011284269.1	WP_011206373.1	WP_011284269.1	WP_011284269.1	WP_011206373.1	WP_011284269.1	WP_011206373.1	WP_011284269.1	WP_011284269.1	WP_011284269.1	WP_011284269.1	WP_011206373.1		WP_011284269.1	WP_011284269.1	WP_011284269.1
N3.HOG0000113	OG0000050	n0									WP_011206292.1	WP_014579884.1	WP_014579884.1	WP_011206292.1	WP_011206292.1	WP_011206292.1	WP_011206292.1	WP_011206292.1	WP_011206292.1	WP_146379657.1	WP_011206292.1	WP_011206292.1	WP_011206292.1	WP_011206292.1	WP_011206292.1	WP_146379657.1	WP_011206292.1	WP_160606811.1	WP_146379657.1	WP_160585161.1	WP_146379657.1	WP_129640641.1, WP_011206292.1		WP_014579884.1	WP_011206292.1	WP_011206292.1
N3.HOG0000114	OG0000051	n0									WP_081430781.1	WP_081632352.1	WP_081450704.1	WP_081430781.1	WP_081430781.1	WP_044272532.1	WP_135619210.1	WP_135619210.1	WP_135619210.1	WP_044272532.1	WP_044284671.1	WP_135619210.1	WP_135619210.1	WP_044272532.1	WP_135619210.1	WP_135619210.1	WP_160608004.1	WP_160606827.1	WP_135619210.1	WP_160585163.1	WP_135619210.1	WP_081430781.1		WP_081450704.1	WP_044272532.1	WP_044272532.1
N3.HOG0000115	OG0000052	n0									WP_011206284.1	WP_014579877.1	WP_014579877.1	WP_011206284.1	WP_020835782.1	WP_044272529.1	WP_094521716.1	WP_179221156.1	WP_135618936.1	WP_044272529.1	WP_044284670.1	WP_233688464.1	WP_160600721.1	WP_160615892.1	WP_160590321.1	WP_160585701.1	WP_160607997.1	WP_160606817.1	WP_160588299.1	WP_160585155.1	WP_160588299.1	WP_011206284.1		WP_014579877.1	WP_243216224.1	WP_243216224.1
N3.HOG0000116	OG0000053	n0									WP_002557698.1	WP_002557698.1	WP_002557698.1	WP_002557698.1	WP_002557698.1	WP_002557698.1	WP_179221201.1	WP_179221201.1	WP_002557698.1	WP_094521497.1	WP_002557698.1	WP_094521497.1	WP_002557698.1	WP_160615597.1	WP_160585654.1	WP_160585654.1	WP_160607789.1	WP_160606931.1	WP_002557698.1	WP_160584919.1	WP_002557698.1	WP_002557698.1		WP_002557698.1	WP_002557698.1	WP_002557698.1
N3.HOG0000117	OG0000054	n0									WP_011206420.1	WP_014579964.1	WP_014579964.1	WP_011206420.1	WP_020835862.1	WP_020835862.1	WP_014579964.1	WP_179221204.1	WP_011206420.1	WP_146379716.1	WP_044284702.1	WP_233688526.1	WP_011206420.1	WP_020835862.1	WP_160585651.1	WP_160585651.1	WP_020835862.1	WP_044284702.1	WP_160588047.1	WP_020835862.1	WP_160588047.1	WP_011206420.1		WP_014579964.1	WP_020835862.1	WP_020835862.1, WP_243234994.1
N3.HOG0000118	OG0000055	n0									WP_011206429.1	WP_014579969.1	WP_014579969.1	WP_011206429.1	WP_020835868.1	WP_011206429.1	WP_160585645.1	WP_011206429.1	WP_135619064.1	WP_146379721.1	WP_011284316.1	WP_233688530.1	WP_160588054.1	WP_160615587.1	WP_160590193.1	WP_160585645.1	WP_160588054.1	WP_160606707.1	WP_160588054.1	WP_160584931.1	WP_160588054.1	WP_011206429.1		WP_014579969.1	WP_011206429.1	WP_011206429.1
N3.HOG0000119	OG0000056	n0									WP_011206460.1	WP_014579991.1	WP_014579991.1	WP_011206460.1	WP_020835893.1	WP_044272640.1	WP_179695896.1	WP_179221239.1	WP_135619103.1	WP_146379735.1	WP_044284718.1	WP_233688548.1	WP_160601125.1	WP_160615899.1	WP_160585219.1	WP_160585831.1	WP_160607760.1	WP_160585219.1	WP_160585219.1	WP_160585219.1	WP_160585219.1	WP_011206460.1		WP_014579991.1	WP_044272640.1	WP_044272640.1
N3.HOG0000120	OG0000057	n0									WP_011206089.1	WP_011206089.1	WP_011206089.1	WP_011206089.1	WP_011290028.1	WP_011290028.1	WP_011290028.1	WP_011290028.1	WP_011206089.1	WP_011290028.1	WP_011206089.1	WP_233688645.1	WP_011206089.1	WP_160615784.1	WP_011290028.1	WP_011290028.1	WP_011290028.1	WP_011290028.1	WP_011290028.1	WP_011290028.1	WP_011290028.1	WP_011206089.1		WP_011206089.1	WP_011206089.1	WP_011206089.1
N3.HOG0000121	OG0000058	n0									WP_011206059.1	WP_014579626.1	WP_014579626.1	WP_011206059.1	WP_011290048.1	WP_011290048.1	WP_135618593.1	WP_179221040.1	WP_135618593.1	WP_146379512.1	WP_011283954.1	WP_233688659.1	WP_135618593.1	WP_135618593.1	WP_160590415.1	WP_160585608.1	WP_160608008.1	WP_135618593.1	WP_135618593.1	WP_135618593.1	WP_135618593.1	WP_011206059.1		WP_014579626.1	WP_011283954.1	WP_011283954.1
N3.HOG0000122	OG0000059	n0									WP_011206057.1	WP_014579624.1	WP_014579624.1	WP_011206057.1	WP_236607966.1, WP_020835587.1	WP_228366126.1	WP_044284596.1	WP_179221041.1	WP_044284596.1	WP_044284596.1	WP_044284596.1	WP_233688661.1	WP_011206057.1	WP_160615806.1	WP_308704709.1	WP_044284596.1	WP_044284596.1	WP_044284596.1	WP_044284596.1	WP_044284596.1	WP_044284596.1	WP_011206057.1		WP_014579624.1	WP_014579624.1	WP_014579624.1
N3.HOG0000123	OG0000060	n0									WP_011206046.1	WP_014579617.1	WP_014579617.1	WP_011206046.1	WP_020835589.1	WP_011290055.1	WP_011290055.1	WP_011206046.1	WP_011206046.1	WP_011290055.1	WP_011206046.1	WP_011206046.1	WP_011206046.1	WP_011290055.1	WP_011290055.1	WP_011290055.1	WP_160608019.1	WP_011290055.1	WP_011290055.1	WP_020835589.1	WP_011290055.1	WP_011206046.1		WP_014579617.1	WP_020835589.1	WP_020835589.1
N3.HOG0000124	OG0000061	n0									WP_011206035.1	WP_011206035.1	WP_011206035.1	WP_011206035.1	WP_011206035.1	WP_011206035.1	WP_011206035.1	WP_011206035.1	WP_011206035.1	WP_011206035.1	WP_011206035.1	WP_011206035.1	WP_011206035.1	WP_011206035.1	WP_011206035.1	WP_011206035.1	WP_011206035.1	WP_011206035.1	WP_011206035.1	WP_220190746.1, WP_011206035.1	WP_011206035.1	WP_011206035.1		WP_011206035.1	WP_011206035.1	WP_011206035.1
N3.HOG0000125	OG0000062	n0									WP_011206012.1	WP_014579663.1	WP_014579663.1	WP_011206012.1	WP_020835608.1	WP_020835608.1	WP_179696065.1	WP_179221054.1	WP_135618633.1	WP_146379532.1	WP_020835608.1	WP_233688675.1	WP_160600998.1	WP_160615750.1	WP_146379532.1	WP_146379532.1	WP_160607930.1	WP_020835608.1	WP_146379532.1	WP_146379532.1	WP_146379532.1	WP_011206012.1		WP_252862167.1	WP_243216013.1	WP_243216013.1
N3.HOG0000126	OG0000063	n0									WP_011205871.1	WP_014579535.1	WP_014579535.1	WP_011205871.1	WP_014579535.1	WP_014579535.1	WP_052259122.1	WP_179221284.1	WP_052259122.1	WP_146379774.1	WP_044284737.1	WP_014579535.1	WP_160600703.1	WP_052259122.1	WP_160585552.1	WP_160585552.1	WP_160585552.1	WP_052259122.1	WP_052259122.1	WP_052259122.1	WP_052259122.1	WP_011205871.1		WP_014579535.1	WP_014579535.1	WP_014579535.1
N3.HOG0000127	OG0000064	n0									WP_011205872.1	WP_014579536.1	WP_014579536.1	WP_011205872.1	WP_020835502.1	WP_020835502.1	WP_179695933.1	WP_179220987.1	WP_135618470.1	WP_146379458.1	WP_044284566.1	WP_233688604.1	WP_160600651.1	WP_160615537.1	WP_160589978.1	WP_160585548.1	WP_160607989.1	WP_160606537.1	WP_160588044.1	WP_160584778.1	WP_160588044.1	WP_011205872.1		WP_014579536.1	WP_243216353.1, WP_243215934.1	WP_243215934.1
N3.HOG0000128	OG0000065	n0									WP_011205908.1	WP_014579568.1	WP_014579568.1	WP_011205908.1	WP_020835523.1	WP_014579568.1	WP_179695946.1	WP_179221001.1	WP_135618517.1	WP_146379474.1	WP_014579568.1	WP_014579568.1	WP_014579568.1	WP_014579568.1	WP_160590545.1, WP_135618517.1	WP_014579568.1	WP_014579568.1	WP_014579568.1	WP_014579568.1	WP_014579568.1	WP_014579568.1	WP_011205908.1		WP_014579568.1	WP_243215955.1	WP_243215955.1
N3.HOG0000129	OG0000066	n0									WP_011206132.1	WP_014579581.1	WP_014579581.1	WP_011206132.1	WP_011289996.1	WP_011289996.1	WP_179695954.1	WP_179221006.1	WP_135618533.1	WP_146379479.1	WP_011283898.1	WP_233688625.1	WP_160601219.1	WP_160615512.1	WP_160590009.1	WP_160585806.1	WP_146379479.1	WP_014579581.1	WP_160588013.1	WP_146379479.1	WP_160588013.1	WP_011206132.1		WP_088764617.1	WP_243215965.1	WP_243215965.1
N3.HOG0000130	OG0000067	n0									WP_011206493.1	WP_011206493.1	WP_011206493.1	WP_011206493.1	WP_011206493.1	WP_011206493.1	WP_011206493.1	WP_179221258.1	WP_135619144.1	WP_146379752.1	WP_011206493.1	WP_011206493.1	WP_160600739.1	WP_011206493.1	WP_011206493.1	WP_011206493.1	WP_011206493.1	WP_011206493.1	WP_160588182.1	WP_011206493.1	WP_258555327.1	WP_011206493.1		WP_011206493.1	WP_011206493.1	WP_011206493.1
N3.HOG0000131	OG0000068	n0									WP_044284849.1	WP_044278116.1	WP_044278116.1	WP_044284849.1	WP_020835906.1	WP_020835906.1	WP_179695884.1	WP_179221252.1	WP_240536355.1	WP_146379748.1	WP_237697220.1	WP_233688558.1	WP_160601213.1	WP_258555910.1	WP_258555679.1	WP_160585588.1	WP_160607734.1	WP_160606743.1	WP_020835906.1	WP_160584913.1	WP_020835906.1	WP_044284849.1		WP_088764582.1	WP_243215866.1	WP_243215866.1
N3.HOG0000132	OG0000069	n0									WP_011206296.1	WP_014579888.1	WP_014579888.1	WP_011206296.1	WP_020835790.1	WP_044272542.1	WP_179695977.1	WP_179221160.1	WP_135618944.1	WP_146379658.1	WP_044284676.1	WP_020835790.1	WP_160600955.1	WP_020835790.1	WP_020835790.1	WP_020835790.1	WP_160608038.1	WP_160606447.1	WP_160588321.1	WP_020835790.1	WP_160588321.1	WP_011206296.1		WP_014579888.1	WP_179221160.1	WP_179221160.1
N3.HOG0000133	OG0000070	n0									WP_011206305.1	WP_011206305.1	WP_011206305.1	WP_011206305.1	WP_020835797.1	WP_011206305.1	WP_179695982.1	WP_146379663.1	WP_135618951.1	WP_146379663.1	WP_011284224.1	WP_233688475.1	WP_160600966.1	WP_160608044.1	WP_020835797.1	WP_011206305.1	WP_160608044.1	WP_160600966.1	WP_011206305.1	WP_011206305.1	WP_011206305.1	WP_011206305.1		WP_011206305.1	WP_233688475.1	WP_233688475.1
N3.HOG0000134	OG0000071	n0									WP_011206354.1	WP_014579934.1	WP_014579934.1	WP_011206354.1	WP_020835832.1	WP_044272563.1	WP_179696084.1	WP_179221188.1	WP_135618998.1	WP_146379686.1	WP_044284691.1	WP_233688499.1	WP_160600769.1	WP_044272563.1	WP_160590147.1	WP_146379686.1	WP_160607838.1	WP_160606583.1	WP_044272563.1	WP_044272563.1	WP_044272563.1	WP_011206354.1		WP_014579934.1	WP_243216282.1	WP_243216282.1
N3.HOG0000135	OG0000072	n0									WP_011206471.1	WP_044278039.1	WP_044278039.1	WP_011206471.1	WP_020835900.1	WP_044272653.1	WP_179695890.1	WP_179221246.1	WP_135619124.1	WP_146379745.1	WP_044284722.1	WP_233688554.1	WP_160601175.1	WP_160615918.1	WP_160590454.1	WP_160585784.1	WP_160607961.1	WP_160606795.1	WP_160588144.1	WP_160585257.1	WP_160588144.1	WP_011206471.1		WP_044278039.1	WP_243215853.1	WP_243215853.1
N3.HOG0000136	OG0000073	n0									WP_011206314.1	WP_179695988.1	WP_179695988.1	WP_011206314.1	WP_011206314.1	WP_011206314.1	WP_179695988.1	WP_011206314.1	WP_179695988.1	WP_192894279.1	WP_179695988.1	WP_233688480.1	WP_011206314.1	WP_011206314.1	WP_179695988.1	WP_179695988.1	WP_011206314.1	WP_179695988.1	WP_179695988.1	WP_280996592.1	WP_179695988.1	WP_011206314.1		WP_179695988.1	WP_179695988.1	WP_179695988.1
N3.HOG0000137	OG0000074	n0									WP_232039550.1	WP_014579950.1	WP_228365395.1	WP_232039550.1	WP_020835847.1	WP_011290343.1	WP_020835847.1	WP_240536610.1	WP_240536348.1	WP_146379697.1	WP_011284288.1	WP_233688511.1	WP_258556625.1	WP_258555814.1	WP_020835847.1	WP_258555814.1	WP_258555568.1	WP_160606566.1	WP_160587863.1	WP_280996564.1	WP_160587863.1	WP_232039550.1		WP_228365395.1	WP_011290343.1	WP_011290343.1
N3.HOG0000138	OG0000075	n0									WP_011205981.1	WP_044277983.1, WP_014579707.1	WP_044277983.1, WP_014579707.1	WP_011205981.1	WP_011290098.1	WP_011290098.1	WP_011205981.1	WP_011205981.1	WP_135618668.1	WP_146379547.1	WP_011284011.1	WP_233688698.1	WP_160600862.1	WP_258555929.1		WP_160585557.1		WP_160606548.1	WP_160588003.1	WP_160584710.1	WP_160588003.1	WP_011205981.1		WP_044277983.1, WP_014579707.1	WP_243216040.1	WP_243216040.1
N3.HOG0000139	OG0000076	n0									WP_241499460.1	WP_014579641.1	WP_228365410.1	WP_044284823.1	WP_051129934.1	WP_228366125.1	WP_179695843.1	WP_240536635.1	WP_240536363.1	WP_192894285.1	WP_237697229.1	WP_233688649.1	WP_160600876.1	WP_308507041.1	WP_308704713.1	WP_160585614.1	WP_308704683.1	WP_308704599.1	WP_192894285.1	WP_308506986.1	WP_308507100.1	WP_232039586.1		WP_228365410.1	WP_243215998.1	WP_243234960.1
N3.HOG0000140	OG0000077	n0									WP_044284770.1	WP_044889031.1	WP_014579567.1	WP_044284770.1	WP_011289985.1	WP_011289985.1	WP_179695945.1	WP_240536634.1	WP_135618515.1	WP_225973010.1	WP_044284576.1	WP_233688621.1	WP_160600689.1	WP_160615521.1	WP_160590000.1	WP_160585534.1	WP_135618515.1	WP_160606517.1	WP_160588023.1	WP_160584758.1	WP_160588023.1	WP_044284770.1		WP_252862124.1	WP_243215952.1	WP_243215952.1
